"","highest_qual","post_school_training_Computing","post_school_trainingArts","post_school_training_Creative.Arts","post_school_training_post_school_training_Languages","post_school_trainingScience","post_school_training_Social.Science","post_school_training_post_school_training_Mathematics","post_school_trainingEngineering","post_school_training_Education","post_school_training_Other"
"176",NA,0,0,0,0,0,0,0,0,0,0
"177",NA,0,0,0,0,0,0,0,0,0,0
"178",2,1,0,0,0,0,0,0,0,0,0
"179",4,1,0,0,0,0,0,0,0,0,0
"180",3,0,0,0,0,0,0,0,0,0,0
"181",4,1,0,0,0,0,0,0,0,0,0
"182",3,0,0,0,0,0,0,1,0,0,0
"183",4,0,0,0,0,0,0,0,0,0,0
"184",3,0,0,0,0,0,0,0,0,0,0
"185",4,1,0,0,0,0,0,0,0,0,0
"186",3,1,0,0,0,0,0,0,0,0,0
"187",1,0,0,0,0,0,0,0,0,0,0
"188",NA,0,0,0,0,0,0,0,0,0,0
"189",3,0,0,0,0,0,0,0,1,0,0
"190",2,1,0,0,0,0,0,0,0,0,0
"191",NA,0,0,0,0,0,0,0,0,0,0
"192",3,1,0,0,0,0,0,0,0,0,0
"193",1,1,0,0,0,0,0,0,0,0,0
"194",1,1,0,0,0,1,0,1,0,0,0
"195",1,0,0,0,0,0,0,0,0,0,0
"196",NA,0,0,0,0,0,0,0,0,0,0
"197",NA,0,0,0,0,0,0,0,0,0,0
"198",4,0,0,0,0,0,0,0,0,0,0
"199",4,0,0,0,0,0,0,0,1,0,0
"200",4,0,0,0,0,1,0,0,0,0,0
"201",2,1,0,0,0,1,0,1,0,0,0
"202",2,0,0,0,0,1,0,0,0,0,0
"203",4,0,0,0,0,0,0,0,1,0,0
"204",4,1,0,0,0,1,0,0,0,0,0
"205",4,1,0,0,0,0,0,0,0,0,0
"206",4,1,0,0,0,1,0,0,0,0,0
"207",3,1,0,0,0,0,0,0,0,0,0
"208",1,0,0,0,0,0,0,0,0,0,0
"209",4,0,0,0,0,1,0,0,0,0,0
"210",4,1,0,0,0,0,0,0,1,0,0
"211",3,0,0,0,0,0,0,0,0,0,0
"212",3,1,0,0,0,0,0,0,0,0,0
"213",3,0,0,0,0,0,0,0,0,0,0
"214",3,1,0,0,0,0,0,0,0,0,0
"215",NA,0,0,0,0,0,0,0,0,0,0
"216",4,0,0,0,1,0,0,0,0,0,0
"217",4,1,0,0,0,0,0,0,1,0,0
"218",4,1,0,0,0,0,0,0,0,0,1
"219",NA,0,0,0,0,0,0,0,0,0,0
"220",1,0,0,0,0,0,0,0,0,0,1
"221",NA,0,0,0,0,0,0,0,0,0,0
"222",3,0,0,0,0,0,0,0,1,0,0
"223",1,1,0,0,0,0,0,1,0,0,0
"224",4,1,0,0,0,0,0,0,0,0,0
"225",1,1,0,0,0,0,0,1,0,0,0
"226",1,1,0,0,0,0,0,0,1,0,0
"227",3,1,0,0,0,0,0,1,1,0,0
"228",2,0,0,0,0,0,0,0,1,0,0
"229",3,1,0,0,0,0,0,1,1,0,0
"230",4,1,0,0,0,0,1,0,0,0,0
"231",4,1,0,0,0,0,0,0,0,0,0
"232",1,0,0,0,0,0,0,0,0,0,0
"233",4,0,0,0,0,0,0,0,0,0,0
"234",NA,0,0,0,0,0,0,0,0,0,0
