"","win_os_perl_distro_strawberry","win_os_perl_distro_activestate","win_os_perl_distro_cygwin","win_os_perl_distro_other","win_os_perl_distro_best"
"468",0,0,0,0,NA
"469",0,0,0,0,NA
"470",1,0,1,0,1
"471",0,0,0,0,NA
"472",0,0,0,0,NA
"473",0,1,0,0,2
"474",0,0,0,0,NA
"475",0,0,1,0,3
"476",0,0,1,0,3
"477",0,0,1,0,3
"478",0,1,0,0,2
"479",0,0,0,0,NA
"480",0,0,0,0,NA
"481",0,0,0,0,NA
"482",0,1,0,0,NA
"483",1,0,0,0,1
"484",0,0,0,0,NA
"485",0,0,1,0,3
"486",0,0,0,0,NA
"487",0,0,0,0,NA
"488",0,0,0,0,NA
"489",0,1,0,0,2
"490",0,0,0,0,NA
"491",0,0,0,0,NA
"492",0,0,0,0,NA
"493",0,0,0,0,NA
"494",1,0,0,0,NA
"495",0,0,0,0,NA
"496",0,1,0,0,2
"497",0,0,0,0,NA
"498",0,1,0,0,2
"499",0,0,0,0,NA
"500",0,0,0,0,NA
"501",0,0,1,0,NA
"502",0,0,0,0,NA
"503",0,0,0,0,NA
"504",1,0,0,0,1
"505",1,1,0,0,1
"506",0,0,0,0,NA
"507",0,0,0,0,NA
"508",0,0,0,0,NA
"509",0,0,1,0,3
"510",0,0,0,0,NA
"511",0,1,0,0,2
"512",1,1,0,0,1
"513",1,0,0,0,1
"514",0,0,0,0,NA
"515",0,0,0,0,NA
"516",0,0,0,0,NA
"517",0,1,0,0,NA
"518",0,0,0,0,NA
"519",0,0,0,0,NA
"520",0,0,0,0,NA
"521",0,0,0,0,NA
"522",0,0,1,0,3
"523",0,0,1,0,3
"524",0,0,0,0,NA
"525",0,0,1,0,3
"526",0,1,0,0,1
"527",0,1,0,0,2
"528",0,0,0,0,NA
"529",0,0,0,1,2
"530",0,1,0,0,1
"531",0,0,0,0,NA
"532",0,0,0,0,NA
"533",0,0,0,0,NA
"534",0,1,0,0,2
"535",0,1,0,0,2
"536",1,0,0,0,1
"537",0,1,0,0,2
"538",0,0,0,0,NA
"539",0,1,0,0,2
"540",0,1,0,0,2
"541",0,0,0,0,NA
"542",0,0,0,0,NA
"543",0,1,0,0,2
"544",0,1,0,0,2
"545",0,0,0,0,NA
"546",0,0,0,0,NA
"547",0,1,0,0,2
"548",0,0,0,0,NA
"549",0,0,0,0,NA
"550",0,0,0,0,NA
"551",0,1,0,0,2
"552",0,0,0,0,NA
"553",0,0,0,0,NA
"554",0,0,0,0,NA
"555",0,0,0,0,NA
"556",0,0,0,0,4
"557",0,0,1,0,3
"558",1,1,0,0,2
"559",0,0,0,0,NA
"560",0,0,0,1,NA
"561",0,0,0,0,NA
"562",0,0,0,0,NA
"563",0,1,1,0,2
"564",0,0,0,1,1
"565",0,0,0,0,NA
"566",0,0,0,0,NA
"567",0,0,0,0,NA
"568",0,0,0,0,NA
"569",0,0,1,0,3
"570",0,0,0,0,NA
"571",0,0,0,0,NA
"572",0,0,0,0,NA
"573",0,0,1,0,3
"574",0,0,0,0,NA
"575",0,1,0,0,2
"576",0,0,0,0,NA
"577",0,0,0,0,NA
"578",0,1,0,0,2
"579",0,0,0,0,NA
"580",1,1,1,0,3
"581",0,0,0,0,NA
"582",0,0,0,0,NA
"583",0,0,0,0,NA
"584",0,0,0,0,NA
"585",0,1,1,0,2
"586",0,0,0,0,NA
"587",0,1,0,0,1
"588",0,1,0,0,2
"589",0,0,0,0,NA
"590",0,0,0,0,NA
"591",0,0,0,0,NA
"592",0,0,0,0,NA
"593",1,0,0,0,1
"594",0,1,0,0,2
"595",0,1,0,0,2
"596",0,0,0,0,NA
"597",1,0,0,0,1
"598",0,0,0,0,NA
"599",0,0,0,0,NA
"600",1,0,1,0,1
"601",0,0,0,0,NA
"602",0,0,0,0,NA
"603",0,0,0,0,NA
"604",0,0,0,0,NA
"605",1,1,0,0,2
"606",0,0,0,0,NA
"607",0,0,0,0,NA
"608",0,0,0,0,NA
"609",0,0,0,0,NA
"610",0,1,0,0,2
"611",0,0,0,0,NA
"612",0,0,0,0,NA
"613",0,1,1,0,2
"614",0,0,0,0,NA
"615",0,0,0,0,NA
"616",0,0,0,0,NA
"617",0,0,0,0,NA
"618",1,0,0,0,1
"619",0,0,0,0,NA
"620",0,0,0,0,NA
"621",0,0,0,0,NA
"622",0,0,0,0,NA
"623",1,0,0,0,1
"624",0,0,0,0,NA
"625",0,0,0,0,NA
"626",0,1,0,0,2
"627",0,0,0,0,NA
"628",1,1,0,0,1
"629",0,0,0,0,NA
"630",0,0,0,0,NA
"631",0,1,1,0,2
"632",0,0,1,0,3
"633",0,1,1,0,2
"634",0,0,0,0,NA
"635",0,0,0,0,NA
"636",1,0,0,0,1
"637",0,0,0,0,NA
"638",0,0,0,0,NA
"639",0,1,0,0,2
"640",0,0,0,0,NA
"641",0,0,0,0,NA
"642",0,0,1,0,3
"643",0,1,0,0,4
"644",0,0,0,0,NA
"645",0,0,0,0,NA
"646",1,1,0,0,1
"647",0,0,0,0,NA
"648",0,0,0,0,NA
"649",0,0,1,0,3
"650",1,0,0,0,1
"651",0,0,0,0,NA
"652",0,1,1,0,NA
"653",1,0,0,0,1
"654",0,0,0,0,NA
"655",0,0,0,0,NA
"656",0,0,0,0,NA
"657",0,1,0,0,2
"658",0,1,1,0,2
"659",0,0,0,0,NA
"660",1,0,0,0,1
"661",0,0,0,0,NA
"662",0,0,0,0,NA
"663",1,1,0,0,1
"664",1,0,0,0,1
