"","formally_taught_perl","formally_taught_other_os_language","other_os_language_taught"
"530",1,1,""
"531",1,1,""
"532",1,1,""
"533",2,3,"PHP (two semesters), JS (one semester), Python (one semester)"
"534",1,1,""
"535",1,3,"Lisp"
"536",1,1,""
"537",1,1,""
"538",3,2,"Lisp"
"539",1,1,""
"540",1,1,""
"541",NA,NA,""
"542",NA,NA,""
"543",1,1,""
"544",2,3,""
"545",1,1,""
"546",1,1,""
"547",1,1,""
"548",NA,NA,""
"549",NA,NA,""
"550",NA,NA,""
"551",1,1,""
"552",1,1,""
"553",1,2,""
"554",1,3,"basic"
"555",1,1,""
"556",1,2,"ML"
"557",3,1,""
"558",1,2,""
"559",1,3,"Ocaml"
"560",1,1,""
"561",NA,NA,""
"562",1,1,""
"563",1,1,""
"564",NA,1,""
"565",NA,NA,""
"566",NA,NA,""
"567",1,1,""
"568",1,3,"Java"
"569",3,4,""
"570",NA,NA,""
"571",1,1,""
"572",NA,NA,""
"573",1,3,"bourne shell"
"574",1,3,"sh, awk"
"575",1,3,""
"576",1,1,""
"577",1,1,""
"578",1,1,""
"579",NA,NA,""
"580",1,1,""
"581",2,2,""
"582",1,1,""
"583",1,1,""
"584",1,3,""
"585",3,1,""
"586",1,3,""
"587",1,1,""
"588",1,1,""
"589",1,3,"Prolog[CR]Java"
"590",1,1,""
"591",1,1,""
"592",2,2,"Can't recall. It was one course with multiple languages."
"593",1,1,""
"594",1,1,""
"595",1,2,"Python"
"596",1,1,""
"597",1,1,""
"598",1,1,""
"599",NA,NA,""
"600",1,3,""
"601",1,1,""
"602",1,1,""
"603",1,2,""
"604",1,1,""
"605",1,1,""
"606",1,2,"C++, Java - for certain definitions of ""dynamic"" of course"
"607",4,1,""
"608",NA,NA,""
"609",1,1,""
"610",1,4,""
"611",3,4,""
"612",3,3,""
"613",1,1,""
"614",1,1,""
"615",NA,NA,""
"616",1,1,""
"617",1,1,""
"618",1,1,""
"619",2,2,"We did have a Operating Systems course for one semester, where (among other things) we learned how to build shell scripts using bash."
"620",1,1,""
