"","install_CPAN_always_test_run","freq_force_install_CPAN_mods_after_test_fail","try_to_understand_why_tests_fail_before_force_install","report_test_fails_thru_approp_channels"
"2155",7,5,6,3
"2156",NA,NA,NA,NA
"2157",NA,NA,NA,NA
"2158",5,2,5,5
"2159",NA,NA,NA,NA
"2160",5,4,3,3
"2161",NA,NA,NA,NA
"2162",NA,NA,NA,NA
"2163",1,1,1,1
"2164",NA,NA,NA,NA
"2165",NA,NA,NA,NA
"2166",6,3,7,1
"2167",1,3,NA,1
"2168",1,1,1,1
"2169",7,4,7,7
"2170",NA,NA,NA,NA
"2171",6,5,6,4
"2172",5,7,5,2
"2173",NA,NA,NA,NA
"2174",7,2,1,7
"2175",1,1,1,1
"2176",6,3,5,5
"2177",6,3,5,1
"2178",5,3,5,4
"2179",6,3,6,6
"2180",6,6,6,3
"2181",6,3,6,5
"2182",NA,NA,NA,NA
"2183",5,5,6,4
"2184",7,6,7,2
"2185",4,3,5,3
"2186",7,2,7,7
"2187",NA,NA,NA,NA
"2188",NA,NA,NA,NA
"2189",NA,NA,NA,NA
"2190",3,NA,6,4
"2191",6,3,7,2
"2192",5,3,5,2
"2193",7,5,7,7
"2194",NA,NA,NA,NA
"2195",2,2,2,5
"2196",7,2,7,4
"2197",NA,NA,NA,NA
"2198",NA,NA,NA,NA
"2199",1,1,1,1
"2200",NA,NA,NA,NA
"2201",6,5,3,3
"2202",1,1,1,1
"2203",1,1,1,1
"2204",NA,NA,NA,NA
"2205",3,5,3,3
"2206",6,NA,4,NA
"2207",7,3,7,6
"2208",1,1,1,1
"2209",4,3,5,3
"2210",NA,NA,NA,NA
"2211",NA,NA,NA,NA
"2212",3,3,4,5
"2213",5,5,6,6
"2214",NA,NA,NA,NA
"2215",NA,NA,NA,NA
"2216",5,3,7,1
"2217",NA,NA,NA,NA
"2218",6,4,6,5
"2219",5,2,5,3
"2220",5,4,6,1
"2221",3,3,1,5
"2222",6,3,6,4
"2223",5,5,6,5
"2224",7,2,7,6
"2225",7,5,6,3
"2226",NA,NA,NA,NA
"2227",2,7,3,2
"2228",4,3,5,4
"2229",5,5,2,3
"2230",4,6,4,3
"2231",6,3,7,1
"2232",7,7,3,3
"2233",6,2,1,1
"2234",NA,NA,NA,NA
"2235",NA,NA,NA,NA
"2236",1,1,1,1
"2237",1,1,1,1
"2238",NA,NA,NA,NA
"2239",6,3,6,7
"2240",6,3,6,6
"2241",7,7,2,2
"2242",6,3,1,3
"2243",6,5,6,6
"2244",2,2,1,1
"2245",NA,NA,NA,NA
"2246",6,3,6,4
"2247",6,6,6,4
"2248",6,2,6,6
"2249",6,7,4,4
"2250",5,4,6,6
"2251",NA,NA,NA,NA
"2252",6,2,1,3
"2253",NA,NA,NA,NA
"2254",5,4,6,5
"2255",4,3,5,3
"2256",NA,NA,NA,NA
"2257",NA,NA,NA,NA
"2258",NA,NA,NA,NA
"2259",NA,NA,NA,NA
"2260",NA,NA,NA,NA
"2261",5,5,5,3
"2262",7,5,4,3
"2263",2,2,2,2
"2264",7,3,6,1
"2265",6,6,7,6
"2266",6,5,7,7
"2267",6,6,5,4
"2268",NA,NA,NA,NA
"2269",3,6,3,3
"2270",NA,NA,NA,NA
"2271",3,7,4,2
"2272",NA,NA,NA,NA
"2273",6,3,7,6
"2274",NA,NA,NA,NA
"2275",3,3,3,3
"2276",4,6,3,2
"2277",NA,NA,NA,NA
"2278",7,2,2,7
"2279",4,3,5,3
"2280",7,2,7,7
"2281",6,5,6,3
"2282",1,1,1,1
"2283",3,3,1,1
"2284",5,7,6,2
"2285",NA,NA,NA,NA
"2286",6,5,6,3
"2287",3,3,6,3
"2288",NA,NA,NA,NA
"2289",6,3,6,4
"2290",7,2,7,5
"2291",1,1,1,1
"2292",NA,NA,NA,NA
"2293",NA,NA,NA,NA
"2294",5,1,1,1
"2295",7,2,7,2
"2296",7,2,7,7
"2297",5,7,6,6
"2298",6,3,6,6
"2299",5,5,7,2
"2300",NA,NA,NA,NA
"2301",1,4,6,3
"2302",7,2,1,6
"2303",6,2,1,2
"2304",1,1,1,1
"2305",6,5,3,2
"2306",NA,NA,NA,NA
"2307",6,6,6,5
"2308",NA,NA,NA,NA
"2309",NA,NA,NA,NA
"2310",NA,NA,NA,NA
"2311",7,2,3,4
"2312",NA,NA,NA,NA
"2313",NA,NA,NA,NA
"2314",3,3,3,2
"2315",7,7,5,1
"2316",6,4,4,4
"2317",3,5,5,3
"2318",3,2,5,5
"2319",7,5,5,2
"2320",7,2,7,5
"2321",7,2,6,3
"2322",3,3,5,5
"2323",5,5,7,2
"2324",6,4,6,6
"2325",6,3,6,5
"2326",NA,NA,NA,NA
"2327",NA,NA,NA,NA
"2328",3,3,7,5
"2329",6,5,6,5
"2330",6,2,5,6
"2331",6,3,7,5
"2332",7,3,7,6
"2333",7,1,1,1
"2334",2,3,3,3
"2335",NA,NA,NA,NA
"2336",1,1,1,1
"2337",7,4,7,6
"2338",NA,NA,NA,NA
"2339",NA,NA,NA,NA
"2340",NA,NA,NA,NA
"2341",6,2,1,5
"2342",NA,NA,NA,NA
"2343",2,6,NA,2
"2344",6,6,7,5
"2345",6,3,6,3
"2346",NA,NA,NA,NA
"2347",6,5,7,3
"2348",6,3,6,3
"2349",6,3,7,3
"2350",NA,NA,NA,NA
"2351",1,1,1,1
"2352",NA,NA,NA,NA
"2353",6,3,6,6
"2354",NA,NA,NA,NA
"2355",7,2,3,2
"2356",NA,NA,NA,NA
"2357",5,3,5,5
"2358",4,3,5,4
"2359",7,5,7,5
"2360",7,5,3,3
"2361",6,6,6,3
"2362",6,2,7,6
"2363",NA,NA,NA,NA
"2364",3,4,6,4
"2365",NA,NA,NA,NA
"2366",2,5,5,5
"2367",7,4,6,6
"2368",6,5,5,3
"2369",1,2,7,4
"2370",6,5,6,3
"2371",3,2,1,1
"2372",NA,NA,NA,NA
"2373",2,2,1,1
"2374",7,2,7,2
"2375",NA,NA,NA,NA
"2376",6,5,7,5
"2377",5,5,5,5
"2378",4,4,6,5
"2379",6,6,6,4
"2380",7,3,7,4
"2381",NA,NA,NA,NA
"2382",7,4,7,7
"2383",NA,NA,NA,NA
"2384",NA,NA,NA,NA
"2385",7,4,6,5
"2386",1,1,1,1
"2387",7,2,7,5
"2388",6,6,6,1
"2389",NA,NA,NA,NA
"2390",6,2,1,3
"2391",NA,NA,NA,NA
"2392",7,3,7,6
"2393",5,4,3,3
"2394",NA,NA,NA,NA
"2395",3,2,1,2
"2396",NA,NA,NA,NA
"2397",NA,NA,NA,NA
"2398",6,5,6,4
"2399",NA,NA,NA,NA
"2400",6,3,1,3
"2401",1,1,1,1
"2402",NA,NA,NA,NA
"2403",NA,NA,NA,NA
"2404",7,3,6,3
"2405",NA,NA,NA,NA
"2406",NA,NA,NA,NA
"2407",7,3,7,5
"2408",NA,NA,NA,NA
"2409",6,2,6,4
"2410",NA,NA,NA,NA
"2411",1,1,1,1
"2412",NA,NA,NA,NA
"2413",6,5,6,4
"2414",NA,NA,NA,NA
"2415",6,6,3,4
"2416",6,3,NA,5
"2417",5,6,4,3
"2418",1,1,1,1
"2419",NA,NA,NA,NA
"2420",1,1,1,NA
"2421",5,6,5,7
"2422",5,3,6,2
"2423",NA,NA,NA,NA
"2424",1,3,1,1
"2425",7,2,7,7
"2426",NA,NA,NA,NA
"2427",NA,NA,NA,NA
"2428",7,3,7,7
"2429",6,4,6,3
"2430",1,1,1,1
"2431",NA,NA,NA,NA
"2432",6,NA,6,6
"2433",4,5,3,3
"2434",7,4,7,6
"2435",6,5,5,4
"2436",NA,NA,NA,NA
"2437",7,2,1,6
"2438",6,5,6,6
"2439",NA,NA,NA,NA
"2440",7,3,7,5
"2441",6,7,7,3
"2442",6,2,7,6
"2443",NA,NA,NA,NA
"2444",NA,NA,NA,NA
"2445",6,5,6,5
"2446",NA,NA,NA,NA
"2447",7,6,6,NA
"2448",7,3,7,2
"2449",NA,NA,NA,NA
"2450",NA,NA,NA,NA
"2451",NA,NA,NA,NA
"2452",NA,NA,NA,NA
"2453",7,7,3,7
"2454",3,6,2,2
"2455",4,5,3,3
"2456",7,4,6,5
"2457",6,5,5,5
"2458",1,5,7,1
"2459",3,3,3,3
"2460",6,5,4,4
"2461",5,5,5,3
"2462",6,5,5,5
"2463",6,3,7,6
"2464",NA,NA,NA,NA
"2465",6,4,6,5
"2466",6,3,7,4
"2467",NA,NA,NA,NA
"2468",NA,NA,NA,NA
"2469",NA,NA,NA,NA
"2470",6,3,7,5
"2471",NA,NA,NA,NA
"2472",NA,NA,NA,NA
"2473",7,3,6,3
"2474",NA,NA,NA,NA
"2475",5,6,4,1
"2476",5,6,6,4
"2477",5,5,6,2
"2478",NA,NA,NA,NA
"2479",6,3,1,4
"2480",NA,NA,NA,NA
"2481",7,4,6,4
"2482",6,5,7,3
"2483",7,3,7,3
"2484",7,4,5,5
"2485",6,1,1,1
"2486",6,3,5,2
"2487",1,1,1,1
"2488",5,5,6,4
"2489",NA,NA,NA,NA
"2490",NA,NA,NA,NA
"2491",NA,NA,NA,NA
"2492",7,4,7,6
"2493",7,4,7,7
"2494",NA,NA,NA,NA
"2495",7,4,7,6
"2496",6,4,6,6
"2497",NA,NA,NA,NA
"2498",NA,NA,NA,NA
"2499",6,3,5,5
"2500",4,6,6,3
"2501",6,6,6,6
"2502",NA,NA,NA,NA
"2503",6,3,6,4
"2504",6,6,4,2
"2505",NA,NA,NA,NA
"2506",NA,NA,NA,NA
"2507",NA,NA,NA,NA
"2508",NA,NA,NA,NA
"2509",5,4,5,4
"2510",6,4,7,3
"2511",1,1,1,1
"2512",5,2,6,3
"2513",1,1,1,1
"2514",1,1,1,1
"2515",4,2,1,1
"2516",6,3,7,5
"2517",NA,NA,NA,NA
"2518",6,2,7,3
"2519",6,2,6,6
"2520",3,5,3,3
"2521",NA,NA,NA,NA
"2522",7,3,6,4
"2523",NA,NA,NA,NA
"2524",6,3,6,5
"2525",5,4,1,5
"2526",NA,NA,NA,NA
"2527",NA,NA,NA,NA
"2528",5,5,4,3
"2529",7,3,6,4
"2530",6,3,6,3
"2531",5,4,3,3
"2532",7,3,7,1
"2533",7,1,7,6
"2534",7,2,7,6
"2535",7,3,6,6
"2536",NA,NA,NA,NA
"2537",NA,NA,NA,NA
"2538",6,4,5,5
"2539",NA,NA,NA,NA
"2540",NA,NA,NA,NA
"2541",3,3,5,3
"2542",6,2,6,6
"2543",6,5,7,3
"2544",6,4,7,3
"2545",NA,NA,NA,NA
"2546",6,2,7,5
"2547",NA,NA,NA,NA
"2548",5,7,5,5
"2549",5,3,6,6
"2550",6,3,6,5
"2551",NA,NA,NA,NA
"2552",6,5,6,3
"2553",7,2,2,7
"2554",5,5,5,6
"2555",6,5,6,5
"2556",NA,NA,NA,NA
"2557",NA,NA,NA,NA
"2558",NA,NA,NA,NA
"2559",NA,NA,NA,NA
"2560",6,5,3,3
"2561",3,5,5,2
"2562",6,2,6,7
"2563",3,5,4,5
"2564",6,6,NA,2
"2565",NA,5,6,6
"2566",7,3,6,6
"2567",7,3,7,6
"2568",7,5,7,5
"2569",5,2,5,1
"2570",6,6,6,3
"2571",6,6,6,3
"2572",NA,NA,NA,NA
"2573",1,1,1,1
"2574",6,2,6,6
"2575",6,3,6,5
"2576",7,3,6,3
"2577",5,5,6,5
"2578",5,2,2,2
"2579",NA,NA,NA,NA
"2580",NA,NA,NA,NA
"2581",5,3,5,6
"2582",NA,NA,NA,NA
"2583",4,6,NA,3
"2584",6,5,4,5
"2585",7,2,1,6
"2586",6,2,5,4
"2587",2,2,5,2
"2588",6,2,6,6
"2589",7,6,5,3
"2590",NA,NA,NA,NA
"2591",NA,NA,NA,NA
"2592",7,3,7,3
"2593",NA,NA,NA,NA
"2594",NA,NA,NA,NA
"2595",6,2,7,5
"2596",NA,NA,NA,NA
"2597",NA,NA,NA,NA
"2598",7,4,5,2
"2599",NA,NA,NA,NA
"2600",6,5,7,2
"2601",NA,NA,NA,NA
"2602",NA,NA,NA,NA
"2603",NA,NA,NA,NA
"2604",NA,NA,NA,NA
"2605",NA,NA,NA,NA
"2606",NA,NA,NA,NA
"2607",5,3,7,2
"2608",5,4,3,3
"2609",7,3,6,5
"2610",7,4,7,6
"2611",NA,NA,NA,NA
"2612",6,3,5,4
"2613",6,3,6,3
"2614",7,2,7,6
"2615",1,1,1,1
"2616",6,5,5,3
"2617",5,3,7,3
"2618",6,2,7,6
"2619",NA,NA,NA,NA
"2620",4,7,3,3
"2621",NA,NA,NA,NA
"2622",6,5,7,6
"2623",6,5,6,4
"2624",6,3,6,5
"2625",7,3,6,2
"2626",7,2,7,7
"2627",6,4,7,6
"2628",1,1,1,1
"2629",7,6,6,3
"2630",4,3,7,5
"2631",7,2,6,6
"2632",NA,NA,NA,NA
"2633",NA,NA,NA,NA
"2634",4,6,5,3
"2635",4,6,6,NA
"2636",7,2,7,7
"2637",NA,NA,NA,NA
"2638",NA,NA,NA,NA
"2639",6,2,7,3
"2640",NA,NA,NA,NA
"2641",4,2,6,6
"2642",6,3,6,6
"2643",4,5,5,1
"2644",NA,NA,NA,NA
"2645",7,3,7,6
"2646",6,3,3,6
"2647",NA,NA,NA,NA
"2648",5,5,4,4
"2649",6,3,6,3
"2650",7,3,6,4
"2651",6,4,6,5
"2652",5,5,7,5
"2653",NA,NA,NA,NA
"2654",NA,NA,NA,NA
"2655",6,3,5,4
"2656",NA,NA,NA,NA
"2657",NA,NA,NA,NA
"2658",7,3,7,6
"2659",NA,NA,NA,NA
"2660",6,5,4,4
"2661",7,7,7,7
"2662",6,3,5,4
"2663",NA,NA,NA,NA
"2664",4,6,4,5
"2665",NA,NA,NA,NA
"2666",5,6,6,4
"2667",NA,NA,NA,NA
"2668",2,7,2,2
"2669",5,2,6,6
"2670",NA,NA,NA,NA
"2671",5,5,5,5
"2672",6,4,6,3
"2673",6,5,6,3
"2674",7,3,7,6
"2675",NA,NA,NA,NA
"2676",NA,NA,NA,NA
"2677",7,2,1,6
"2678",NA,NA,NA,NA
"2679",3,NA,6,3
"2680",1,1,1,1
"2681",NA,NA,NA,NA
"2682",3,6,6,6
"2683",NA,NA,NA,NA
"2684",NA,NA,NA,NA
"2685",7,3,6,4
"2686",NA,NA,NA,NA
"2687",6,5,7,3
"2688",6,3,6,4
"2689",7,6,5,5
"2690",6,3,1,1
"2691",5,3,5,6
"2692",NA,NA,NA,NA
"2693",6,2,3,3
"2694",6,1,1,1
"2695",6,5,7,6
"2696",7,3,6,6
"2697",7,4,7,6
"2698",6,3,6,3
"2699",7,3,7,2
"2700",2,3,6,3
"2701",6,3,6,5
"2702",7,3,7,7
"2703",7,2,7,5
"2704",6,5,6,5
"2705",2,2,2,1
"2706",NA,NA,NA,NA
"2707",5,3,3,3
"2708",NA,NA,NA,NA
"2709",1,4,3,3
"2710",7,2,7,4
"2711",NA,NA,NA,NA
"2712",5,4,5,2
"2713",NA,NA,NA,NA
"2714",4,5,5,4
"2715",7,2,6,2
"2716",6,2,6,5
"2717",6,3,7,5
"2718",NA,NA,NA,NA
"2719",6,4,6,4
"2720",5,7,4,3
"2721",NA,NA,NA,NA
"2722",4,6,3,3
"2723",3,5,2,2
"2724",7,4,7,5
"2725",NA,NA,NA,NA
"2726",7,5,6,2
"2727",7,2,1,1
"2728",NA,NA,NA,NA
"2729",5,4,6,5
"2730",3,5,5,3
"2731",5,6,6,3
"2732",5,5,6,4
"2733",NA,NA,NA,NA
"2734",NA,NA,NA,NA
"2735",7,4,7,4
"2736",1,1,1,1
"2737",6,2,7,6
"2738",6,7,3,3
"2739",2,6,3,2
"2740",6,3,3,3
"2741",NA,NA,NA,NA
"2742",NA,NA,NA,NA
"2743",5,3,6,1
"2744",NA,NA,NA,NA
"2745",7,2,7,6
"2746",6,5,6,6
"2747",7,2,7,4
"2748",5,2,1,2
"2749",NA,NA,NA,NA
"2750",5,5,5,4
"2751",4,4,5,5
"2752",NA,NA,NA,NA
"2753",NA,NA,NA,NA
"2754",6,3,6,5
"2755",6,3,6,3
"2756",5,6,6,3
"2757",NA,NA,NA,NA
"2758",7,7,7,7
"2759",6,3,6,6
"2760",5,2,5,5
"2761",7,3,6,6
"2762",NA,NA,NA,NA
"2763",7,4,6,7
"2764",NA,NA,NA,NA
"2765",5,4,6,4
"2766",NA,NA,NA,NA
"2767",NA,NA,NA,NA
"2768",7,3,7,6
"2769",NA,NA,NA,NA
"2770",5,5,3,3
"2771",6,3,6,7
"2772",NA,NA,NA,NA
"2773",NA,NA,NA,NA
"2774",NA,NA,NA,NA
"2775",7,2,6,3
"2776",1,1,1,1
"2777",7,2,6,7
"2778",4,3,6,4
"2779",4,3,2,2
"2780",5,4,7,7
"2781",NA,NA,NA,NA
"2782",6,1,1,1
"2783",6,2,6,6
"2784",6,5,7,5
"2785",7,5,7,7
"2786",NA,NA,NA,NA
"2787",7,7,7,7
"2788",1,1,1,5
"2789",7,4,7,4
"2790",1,1,1,1
"2791",3,6,4,5
"2792",5,4,4,4
"2793",6,3,6,6
"2794",5,3,6,5
"2795",NA,NA,NA,NA
"2796",6,2,6,5
"2797",6,3,7,3
"2798",7,4,7,7
"2799",7,4,6,4
"2800",NA,NA,NA,NA
"2801",NA,NA,NA,NA
"2802",1,1,1,1
"2803",6,3,7,3
"2804",6,4,6,3
"2805",NA,NA,NA,NA
"2806",6,4,7,6
"2807",7,5,6,6
"2808",6,3,7,1
"2809",6,2,6,1
"2810",3,3,3,3
"2811",3,6,3,3
"2812",NA,NA,NA,NA
"2813",7,6,7,6
"2814",NA,NA,NA,NA
"2815",NA,NA,NA,NA
"2816",NA,NA,NA,NA
"2817",7,3,7,6
"2818",7,4,7,2
"2819",6,5,5,1
"2820",7,2,5,2
"2821",NA,NA,NA,NA
"2822",7,2,7,3
"2823",NA,NA,NA,NA
"2824",6,4,4,4
"2825",NA,NA,NA,NA
"2826",5,5,5,3
"2827",4,2,6,4
"2828",6,4,6,5
"2829",6,5,6,3
"2830",NA,NA,NA,NA
"2831",NA,NA,NA,NA
"2832",NA,NA,NA,NA
"2833",NA,NA,NA,NA
"2834",NA,NA,NA,NA
"2835",NA,NA,NA,NA
"2836",2,7,2,1
"2837",NA,NA,NA,NA
"2838",NA,NA,NA,NA
"2839",NA,NA,NA,NA
"2840",5,5,6,5
"2841",6,6,6,6
"2842",6,5,6,5
"2843",7,2,6,6
"2844",7,2,6,5
"2845",3,3,5,5
"2846",1,1,1,1
"2847",6,3,4,3
"2848",6,3,6,5
"2849",7,2,7,7
"2850",5,3,6,6
"2851",NA,NA,NA,NA
"2852",NA,NA,NA,NA
"2853",NA,NA,NA,NA
"2854",NA,NA,NA,NA
"2855",7,2,6,6
"2856",6,3,6,3
"2857",NA,NA,NA,NA
"2858",NA,NA,NA,NA
"2859",4,5,2,2
"2860",7,2,7,7
"2861",5,5,3,3
"2862",NA,NA,NA,NA
"2863",6,3,6,1
"2864",7,3,7,3
"2865",7,1,1,1
"2866",5,3,5,4
"2867",NA,NA,NA,NA
"2868",7,3,6,6
"2869",NA,NA,NA,NA
"2870",NA,NA,NA,NA
"2871",4,4,6,3
"2872",7,1,7,4
"2873",7,6,7,3
"2874",5,4,5,5
"2875",6,5,7,4
"2876",6,5,6,3
"2877",2,2,3,2
"2878",6,3,6,1
"2879",NA,NA,NA,NA
"2880",6,2,1,1
"2881",NA,NA,NA,NA
"2882",7,2,7,6
"2883",7,2,1,5
"2884",6,4,6,3
"2885",5,3,5,4
"2886",NA,NA,NA,NA
"2887",7,3,7,3
"2888",NA,NA,NA,NA
"2889",NA,NA,NA,NA
"2890",6,2,6,2
"2891",6,3,7,3
"2892",6,3,7,1
"2893",4,3,6,5
"2894",6,4,6,5
"2895",6,7,6,3
"2896",NA,NA,NA,NA
"2897",NA,NA,NA,NA
"2898",NA,NA,NA,NA
"2899",6,3,7,5
"2900",7,3,7,6
"2901",6,3,6,6
"2902",NA,NA,NA,NA
"2903",NA,NA,NA,NA
"2904",4,NA,6,3
"2905",6,3,7,6
"2906",2,6,5,2
"2907",7,3,6,1
"2908",6,3,6,1
"2909",6,3,6,6
"2910",6,4,6,3
"2911",NA,NA,NA,NA
"2912",7,4,6,6
"2913",7,1,1,1
"2914",NA,NA,NA,NA
"2915",3,1,1,1
"2916",6,3,6,6
"2917",5,3,5,4
"2918",7,2,7,5
"2919",6,2,1,5
"2920",7,3,7,5
"2921",6,3,6,3
"2922",6,2,6,5
"2923",7,5,7,2
"2924",NA,NA,NA,NA
"2925",6,3,6,3
"2926",5,5,3,5
"2927",5,7,5,2
"2928",NA,NA,NA,NA
"2929",6,3,7,2
"2930",6,3,6,5
"2931",5,4,6,4
"2932",NA,NA,NA,NA
"2933",7,3,6,3
"2934",6,4,6,7
"2935",NA,NA,NA,NA
"2936",3,6,3,3
"2937",NA,NA,NA,NA
"2938",7,6,6,2
"2939",NA,NA,NA,NA
"2940",3,3,3,7
"2941",NA,NA,NA,NA
"2942",4,2,7,4
"2943",5,3,1,3
"2944",NA,NA,NA,NA
"2945",NA,NA,NA,NA
"2946",5,4,6,5
"2947",7,3,7,5
"2948",5,5,2,2
"2949",1,1,1,1
"2950",2,1,1,1
"2951",6,4,6,5
"2952",6,4,7,6
"2953",6,3,6,3
"2954",5,4,6,6
"2955",6,4,6,3
"2956",6,3,7,1
"2957",NA,NA,NA,NA
"2958",NA,NA,NA,NA
"2959",NA,NA,NA,NA
"2960",6,4,6,3
"2961",NA,NA,NA,NA
"2962",NA,NA,NA,NA
"2963",NA,NA,NA,NA
"2964",NA,NA,NA,NA
"2965",6,4,5,4
"2966",6,3,6,4
"2967",6,6,6,6
"2968",6,5,7,5
"2969",5,2,7,4
"2970",7,5,7,3
"2971",NA,NA,NA,NA
"2972",NA,NA,NA,NA
"2973",NA,NA,NA,NA
"2974",NA,NA,NA,NA
"2975",7,4,6,2
"2976",6,1,1,6
"2977",7,2,5,5
"2978",5,2,6,3
"2979",NA,NA,NA,NA
"2980",6,5,7,5
"2981",1,1,1,7
"2982",7,2,6,4
"2983",5,2,6,1
"2984",6,2,1,5
"2985",NA,NA,NA,NA
"2986",NA,NA,NA,NA
"2987",NA,NA,NA,NA
"2988",7,3,6,5
"2989",6,3,5,2
"2990",7,2,6,7
"2991",6,3,6,6
"2992",2,3,6,3
"2993",NA,NA,NA,NA
"2994",1,1,1,1
"2995",5,5,6,3
"2996",2,5,2,2
"2997",6,5,4,3
"2998",6,5,5,5
"2999",6,4,4,4
"3000",NA,NA,NA,NA
"3001",NA,NA,NA,NA
"3002",NA,NA,NA,NA
"3003",7,2,7,7
"3004",NA,NA,NA,NA
"3005",NA,NA,NA,NA
"3006",NA,NA,NA,NA
"3007",NA,NA,NA,NA
"3008",6,4,6,5
"3009",6,4,5,5
"3010",NA,NA,NA,NA
"3011",6,2,6,2
"3012",6,2,1,5
"3013",NA,NA,NA,NA
"3014",5,4,5,5
"3015",5,1,5,5
"3016",NA,NA,NA,NA
"3017",6,5,6,4
"3018",6,6,6,5
"3019",7,5,6,3
"3020",NA,NA,NA,NA
"3021",2,1,1,1
"3022",3,2,1,1
"3023",NA,NA,NA,NA
"3024",2,2,2,2
"3025",1,1,1,1
"3026",5,4,6,NA
"3027",1,4,6,4
"3028",6,2,5,4
"3029",6,5,5,3
"3030",7,3,6,3
"3031",6,5,6,3
"3032",NA,NA,NA,NA
"3033",5,2,5,2
"3034",6,4,4,4
"3035",NA,NA,NA,NA
"3036",6,3,6,6
"3037",7,5,7,6
"3038",3,2,2,2
"3039",NA,NA,NA,NA
"3040",6,6,5,3
"3041",6,3,7,6
"3042",NA,NA,NA,NA
"3043",7,2,7,5
"3044",7,2,1,6
"3045",3,6,7,6
"3046",6,4,7,3
"3047",7,3,7,6
"3048",7,2,6,3
"3049",6,1,6,1
"3050",6,3,2,2
"3051",6,4,6,6
"3052",6,3,4,3
"3053",6,3,6,5
"3054",NA,NA,NA,NA
"3055",3,4,5,4
"3056",NA,NA,NA,NA
"3057",NA,NA,NA,NA
"3058",6,3,7,6
"3059",6,3,6,3
"3060",NA,NA,NA,NA
"3061",7,5,7,7
"3062",6,5,6,6
"3063",6,5,6,4
"3064",6,4,4,2
"3065",NA,NA,NA,NA
"3066",NA,NA,NA,NA
"3067",7,3,6,5
"3068",7,3,7,3
"3069",7,2,6,6
"3070",NA,NA,NA,NA
"3071",6,5,7,6
"3072",1,3,1,1
"3073",6,3,7,5
"3074",1,1,1,1
"3075",NA,NA,NA,NA
"3076",6,2,6,6
"3077",6,3,6,4
"3078",6,5,6,3
"3079",6,3,7,6
"3080",7,1,1,6
"3081",NA,NA,NA,NA
"3082",NA,NA,NA,NA
"3083",NA,NA,NA,NA
"3084",NA,NA,NA,NA
"3085",1,1,1,NA
"3086",2,3,3,3
"3087",6,2,7,4
"3088",6,4,6,1
"3089",NA,NA,NA,NA
"3090",NA,NA,NA,NA
"3091",7,3,6,6
"3092",4,6,5,4
"3093",5,3,6,3
"3094",NA,NA,NA,NA
"3095",2,2,1,1
"3096",NA,NA,NA,NA
"3097",NA,NA,NA,NA
"3098",1,1,1,1
"3099",6,6,6,4
"3100",7,3,7,3
"3101",1,1,1,1
"3102",NA,NA,NA,NA
"3103",6,3,6,5
"3104",1,1,1,1
"3105",NA,NA,NA,NA
"3106",NA,NA,NA,NA
"3107",NA,NA,NA,NA
"3108",6,4,6,4
"3109",6,2,6,5
"3110",4,4,5,4
"3111",6,5,6,3
"3112",7,5,6,4
"3113",1,1,1,1
"3114",6,4,7,5
"3115",6,2,6,5
"3116",5,5,6,4
"3117",NA,NA,NA,NA
"3118",7,3,7,6
"3119",NA,NA,NA,NA
"3120",NA,NA,NA,NA
"3121",6,3,6,5
"3122",2,7,2,2
"3123",3,3,5,3
"3124",6,4,6,5
"3125",7,3,3,2
"3126",6,4,4,6
"3127",6,5,7,1
"3128",NA,NA,NA,NA
"3129",NA,NA,NA,NA
"3130",7,2,7,6
"3131",6,3,6,5
"3132",NA,NA,NA,NA
"3133",6,3,5,3
"3134",NA,NA,NA,NA
"3135",6,6,6,4
"3136",6,2,6,3
"3137",6,6,7,3
"3138",NA,NA,NA,NA
"3139",7,6,5,3
"3140",NA,NA,NA,NA
"3141",6,5,6,6
"3142",2,7,2,3
"3143",5,6,6,4
"3144",6,3,7,1
"3145",5,5,4,4
"3146",NA,NA,NA,NA
"3147",3,5,5,3
"3148",6,4,7,3
"3149",6,5,6,3
"3150",NA,NA,NA,NA
"3151",7,6,6,4
"3152",6,5,7,4
"3153",4,5,6,3
"3154",NA,NA,NA,NA
"3155",6,5,7,4
"3156",NA,NA,NA,NA
"3157",6,5,7,5
"3158",6,4,NA,2
"3159",NA,NA,NA,NA
"3160",3,5,4,2
"3161",NA,NA,NA,NA
"3162",NA,NA,NA,NA
"3163",NA,NA,NA,NA
"3164",NA,NA,NA,NA
"3165",6,2,5,3
"3166",2,2,7,2
"3167",NA,NA,NA,NA
"3168",6,3,6,5
"3169",NA,NA,NA,NA
"3170",5,5,4,3
"3171",5,3,7,3
"3172",NA,NA,NA,NA
"3173",NA,NA,NA,NA
"3174",6,5,3,1
"3175",NA,NA,NA,NA
"3176",3,5,5,5
"3177",7,3,1,6
"3178",NA,NA,NA,NA
"3179",4,6,4,3
"3180",6,4,7,7
"3181",2,1,1,1
"3182",1,1,1,1
"3183",5,3,1,4
"3184",7,3,1,1
"3185",NA,NA,NA,NA
"3186",7,2,5,1
"3187",6,2,7,7
"3188",4,5,6,3
"3189",4,5,2,2
"3190",7,5,6,7
"3191",NA,NA,NA,NA
"3192",3,3,6,1
"3193",6,4,5,4
"3194",1,1,1,1
"3195",5,4,3,1
"3196",2,1,1,1
"3197",NA,NA,NA,NA
"3198",NA,NA,NA,NA
"3199",7,2,6,6
"3200",5,4,6,6
